2138.824462890625,1774.1378173828125
2228.42236328125,1718.147216796875
2032.4271240234375,1734.9444580078125
2390.818603515625,1807.732177734375
1931.6295166015625,1858.1240234375
2631.61279296875,2406.832275390625
1707.634765625,2474.02099609375
3309.196533203125,2944.3427734375
1102.8489990234375,3022.729736328125
2883.60693359375,3397.8671875
1534.038818359375,3476.25390625
2519.615478515625,3918.58056640625
1926.0294189453125,3935.37744140625
2575.6142578125,5055.19091796875
1892.4302978515625,5122.3798828125
2614.813232421875,6225.39599609375
1836.431640625,6253.39111328125
